Dates,Mean,High,Low
2020-05-12,7236.772259493577,7914,6519
2020-05-13,7238.369626821798,7914,6523
2020-05-14,7239.722503757595,7915,6526
2020-05-15,7240.868296355519,7916,6529
2020-05-16,7241.838683357249,7916,6531
2020-05-17,7242.6605072708735,7916,6533
2020-05-18,7243.356508019189,7917,6534
2020-05-19,7243.945942603381,7917,6536
2020-05-20,7244.445123664636,7917,6537
2020-05-21,7244.8678690058005,7917,6538
2020-05-22,7245.225884183256,7917,6539
2020-05-23,7245.529074093099,7917,6540
2020-05-24,7245.7858230739275,7918,6540
2020-05-25,7246.003256459247,7918,6541
2020-05-26,7246.1873872922015,7918,6541
2020-05-27,7246.343331987451,7918,6542
2020-05-28,7246.475393235883,7918,6542
2020-05-29,7246.587230196026,7918,6543
2020-05-30,7246.681940201244,7918,6543
2020-05-31,7246.762144084854,7918,6543
2020-06-01,7246.830066202664,7918,6543
2020-06-02,7246.887577226412,7918,6543
2020-06-03,7246.936291155784,7918,6544
2020-06-04,7246.97754389299,7918,6544
2020-06-05,7247.012483027469,7918,6544
2020-06-06,7247.042068665466,7918,6544
2020-06-07,7247.067123220467,7918,6544
2020-06-08,7247.088338348763,7918,6544
2020-06-09,7247.106305038711,7918,6544
2020-06-10,7247.121521403887,7918,6544
2020-06-11,7247.134410482921,7918,6544
2020-06-12,7247.145319252008,7918,6544
2020-06-13,7247.1545589321895,7918,6544
2020-06-14,7247.16238242016,7918,6544
2020-06-15,7247.169005917367,7918,6544
2020-06-16,7247.174619764474,7918,6544
2020-06-17,7247.179380925113,7918,6544
2020-06-18,7247.183414959892,7918,6544
2020-06-19,7247.18682282305,7918,6544
2020-06-20,7247.189708710993,7918,6544
2020-06-21,7247.192149563912,7918,6544
2020-06-22,7247.194210600286,7918,6544
2020-06-23,7247.195957746738,7918,6544
2020-06-24,7247.1974530889365,7918,6544
2020-06-25,7247.198695180531,7918,6544
2020-06-26,7247.199758672879,7918,6544
2020-06-27,7247.2006594375425,7918,6544
2020-06-28,7247.2014210184725,7918,6544
2020-06-29,7247.202064315475,7918,6544
2020-06-30,7247.202609099598,7918,6545
2020-07-01,7247.203069348656,7918,6545
2020-07-02,7247.203458373606,7918,6545
2020-07-03,7247.203791599986,7918,6545
2020-07-04,7247.2040788898485,7918,6545
2020-07-05,7247.204321918413,7918,6545
2020-07-06,7247.204528266889,7918,6545
2020-07-07,7247.204720280437,7918,6545
2020-07-08,7247.204857262524,7918,6545
2020-07-09,7247.204978101589,7918,6545
2020-07-10,7247.2050828691845,7918,6545
2020-07-11,7247.205173207876,7918,6545
2020-07-12,7247.205249802966,7918,6545
2020-07-13,7247.205312654455,7918,6545
2020-07-14,7247.205363774067,7918,6545
2020-07-15,7247.205407524765,7918,6545
2020-07-16,7247.205444057023,7918,6545
2020-07-17,7247.205473575113,7918,6545
2020-07-18,7247.20549884147,7918,6545
2020-07-19,7247.205520727056,7918,6545
2020-07-20,7247.205539231868,7918,6545
2020-07-21,7247.20555491261,7918,6545
2020-07-22,7247.20556867968,7918,6545
2020-07-23,7247.205580546108,7918,6545
2020-07-24,7247.2055905707675,7918,6545
2020-07-25,7247.205599277339,7918,6545
2020-07-26,7247.205606789413,7918,6545
2020-07-27,7247.20561310699,7918,6545
2020-07-28,7247.205618448089,7918,6545
2020-07-29,7247.205623077833,7918,6545
2020-07-30,7247.205626996844,7918,6545
2020-07-31,7247.205630242738,7918,6545
2020-08-01,7247.20563305007,7918,6545
2020-08-02,7247.205635459452,7918,6545
2020-08-03,7247.205637470972,7918,6545
2020-08-04,7247.2056391773285,7918,6545
2020-08-05,7247.205640660493,7918,6545
